company_id,company_name
305,LockIn for Chrome
601,"KwizzEase: DeepWork, Flash Cards, Quiz"
664,SlotPulse
665,Sam / EUTA
666,BTCC Referral Code Unlock Exclusive 
667,OnDevice OCR Pro
668,JoinCalc
669,RailMood
670,Green the Chain 
671,Sayonara Beauty Clinic & Acadamy
672,[MAC] Claude Notch Usage Companion
673,Two Paths
674,LogBone — AI Fitness Coach & PR Tracker
675,Sleep Science DB
676,Elusive
677,Free Download: Premium Website Template
678,Nutrition Mate
679,BTC War
680,inference.vip
681,NexoClicker
682,Destiny Manage
683,Impri
