"company_id","company_name","Domain"
3,"Sapphire Software Parent, LLC","sapphireventures.com"
4,"SMITH MICRO SOFTWARE, INC.  (SMSI)","smithmicro.com"
5,"UserFirst Software, Inc.","leanlaw.co"
6,"KHT Software Inc.","khttechnology.com"
7,"eMotive Software, Inc.","emotivesoftware.com"
8,"Flaunt Software, Inc.","flaunt.ai"
9,"Board Management Software, Inc.","boardableapp.com"
20,"ReSpark Software, Inc.","respark.com"
21,"Kepler Software, Inc.","keplergrp.com"
22,"Blacksmith Software Inc.","blacksmith.sh"
23,"Una Software US Corp.","una.ai"
25,"Nova AI Software Inc.","novaintelligence.com"
26,"InfraSight Software Corp","infrasight.software"
28,"Boom Software, Inc.","boomsoftware.com"
33,"Appraisal Dream LLC","appraisaldream.com"
34,"2ClickFit, Inc.","2clickfit.com"
35,"Platform VCS I, LLC","platformv.com"
36,"Firebird Music Holdings, LLC","firebirdmusic.com"
37,"DF Platform Exchange, LLC","stany.org"
38,"Platform Golf, Ltd.","platformgolf.com"
39,"MPS Platform Services Inc.","mpslimited.com"
40,"EQUAL PLATFORM SOLUTIONS INC","website-files.com"
